书名,作者,是否完本,字数,总人气,签约,总银票,图片网址
特种作战：幽灵部队,鹰隼展翅 著,完本,252.8万,3068.4万,9.6万,3068.4万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我做二哈那些年,老诩 著,完本,191.0万,1580.4万,6.1万,1580.4万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
大道至简,鬼舞沙 著,完本,105.5万,44.5万,526,44.5万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
万古杀帝,雪参 著,完本,867.8万,4960.4万,17.1万,4960.4万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
两界走私商,浮兮 著,完本,152.2万,1414.2万,3.0万,1414.2万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
凌天至尊,辰小白 著,完本,755.4万,1188.5万,2.1万,1188.5万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
仙武帝尊,六界三道 著,连载中,929.5万,110617.6万,600.8万,110617.6万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
极品上门女婿,不吃鱼的猫儿 著,连载中,378.2万,55341.0万,707.0万,55341.0万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我在绝地求生捡碎片,清酒半壶 著,连载中,376.7万,33018.3万,691.5万,33018.3万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
透视神医在花都,君莫哭 著,连载中,457.4万,15477.1万,70.0万,15477.1万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
徒弟都是大魔头,奶骑千万 著,连载中,52.6万,2040.8万,19.6万,2040.8万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
最强上门女婿,水门绅士 著,连载中,424.5万,26650.9万,186.5万,26650.9万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
第一兵王,揩油笔 著,连载中,64.1万,1048.4万,7.5万,1048.4万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
怪兽：开局召唤哥斯拉,日更一万 著,连载中,52.3万,1675.0万,22.6万,1675.0万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
直播：女神家的哈士奇天秀,十钱天师 著,连载中,147.0万,4938.9万,56.2万,4938.9万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我家师父超凶哒,林二臣 著,连载中,125.9万,4329.6万,36.7万,4329.6万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我有百万亿主角光环,苏小树 著,连载中,126.9万,3106.5万,21.1万,3106.5万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我的邻居是女鬼,拾荒者 著,完本,111.7万,32.8万,155,32.8万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
都市：我每周一个新身份,万千繁星 著,连载中,128.4万,3469.7万,25.2万,3469.7万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
九转霸体,锦鲤娘娘 著,连载中,57.8万,1521.8万,10.2万,1521.8万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
书名,作者,是否完本,字数,总人气,签约,总银票,图片网址
我的体内有只鬼,一柄墨刀 著,连载中,137.9万,2494.0万,49.4万,2494.0万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
绝品上门女婿,漠野风 著,连载中,310.9万,4923.1万,34.1万,4923.1万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
与女神荒岛求生的日子,曾家小少 著,连载中,263.3万,11220.9万,117.3万,11220.9万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
进化：我变成了北极熊,小小蜡笔 著,连载中,14.9万,60.7万,1.2万,60.7万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我成了卡普的双胞胎哥哥,饭零零 著,连载中,10.7万,50.3万,8915,50.3万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
网游：每十小时创造一个BUG,不谈 著,连载中,84.3万,1809.0万,22.6万,1809.0万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
开局至尊跑车，我有的选吗？,乘风匿笔 著,连载中,35.5万,539.0万,4.1万,539.0万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
从野怪开始进化升级,命给你行不行 著,连载中,132.0万,1815.4万,25.5万,1815.4万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
鉴宝狂少,胖爷 著,连载中,183.0万,1244.5万,5.8万,1244.5万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
帝国败家子,天香瞳 著,连载中,301.4万,5381.9万,157.4万,5381.9万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
继承三万亿,我本不凡 著,连载中,71.2万,417.9万,2.9万,417.9万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
天啊！我变成了龟,往三十 著,连载中,390.7万,15975.0万,304.6万,15975.0万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
网游：我能无限提升血脉,奋笔疾书 著,连载中,22.6万,136.9万,1.9万,136.9万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我送快递有神豪奖励,吹不起的泡泡 著,连载中,74.6万,1141.9万,8.9万,1141.9万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
直播：开局战斗机送快递,土一 著,连载中,16.9万,83.2万,1.3万,83.2万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
悠然山村（农家奶爸）,年末 著,连载中,115.0万,912.6万,4.3万,912.6万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
桃源小地主,吃肉和尚 著,连载中,134.9万,659.6万,3.1万,659.6万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
考试结束！奖励顶级跑车,坚果酱 著,连载中,22.3万,108.9万,1.0万,108.9万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
极品透视民工,我爱流星雨 著,连载中,277.3万,2726.5万,11.9万,2726.5万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
极品捡漏王,有聊的鱼 著,连载中,272.4万,3083.5万,12.1万,3083.5万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
书名,作者,是否完本,字数,总人气,签约,总银票,图片网址
我真不是女装大佬,夜语惊风 著,连载中,39.2万,261.4万,4.1万,261.4万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
火影之最强血脉,花开开花开 著,连载中,27.8万,57.8万,7925,57.8万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
重生明朝做暴君,画凌烟 著,连载中,73.0万,640.0万,7.7万,640.0万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
神宠全球降临,且听风吟 著,连载中,291.1万,12712.6万,166.3万,12712.6万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我有一个厉鬼编辑器,尘缘一梦 著,连载中,11.8万,28.4万,8848,28.4万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
僵尸世界：请飞僵出棺,玉淼 著,连载中,21.0万,172.9万,1.5万,172.9万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
三国之吕氏王朝,优米超可爱 著,连载中,26.2万,121.7万,1.6万,121.7万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
超强狂婿,飞跃高山 著,连载中,239.7万,1455.9万,8.3万,1455.9万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
漫威：开局扮演火影,月影如喵 著,连载中,38.5万,644.0万,9.0万,644.0万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
被女神捡来的赘婿,战灵 著,连载中,214.8万,1628.1万,5.2万,1628.1万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
在下键盘侠，有何贵干,墨皇太一 著,连载中,23.1万,49.0万,8256,49.0万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我在大唐当驸马,会飞的鸟 著,连载中,33.0万,88.2万,1.0万,88.2万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
永恒之门,六界三道 著,连载中,28.9万,305.0万,7.4万,305.0万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
从渡劫开始无限盗号,欲买桂花同载酒 著,连载中,30.9万,174.9万,1.9万,174.9万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
史上最强小神医,黑色的黑瓜子 著,连载中,120.5万,538.7万,2.5万,538.7万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
黄金渔村,龙王大人 著,连载中,174.1万,2409.8万,19.6万,2409.8万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
震惊，我被女帝抢婚,天天吃饱 著,连载中,42.9万,539.4万,3.7万,539.4万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
花都天才医圣,马筱虎 著,连载中,332.6万,4088.0万,22.5万,4088.0万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
网游：我有百倍反伤,酒吞山河 著,连载中,33.9万,274.6万,2.3万,274.6万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
抗战之铁血救国,宝王 著,连载中,258.6万,1393.6万,14.9万,1393.6万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
书名,作者,是否完本,字数,总人气,签约,总银票,图片网址
狂兵赘婿,三丁 著,连载中,435.0万,7930.2万,56.7万,7930.2万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
洪荒：我有无数功德,北冥小鱼 著,连载中,40.0万,275.1万,1.9万,275.1万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
无敌：从改变世界开始,小小怪 著,连载中,36.8万,322.6万,5.6万,322.6万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我有十万倍天赋,云小佛 著,完本,83.4万,4791.7万,23.3万,4791.7万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我是特种兵中的战争之王,扑街巨星 著,连载中,35.5万,58.9万,9011,58.9万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我成了少女的守护灵,一碗牛肉面 著,连载中,45.0万,346.5万,3.2万,346.5万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
一统三界·孙大圣的神豪虱子,開运猫 著,连载中,52.6万,643.1万,3.2万,643.1万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
无双仙帝,狗贼蛋 著,连载中,64.5万,767.1万,4.4万,767.1万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
酒神：开局一只小萝莉,六月四 著,连载中,26.8万,51.3万,1.3万,51.3万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
超级黄金指,道门弟子 著,完本,534.9万,11514.7万,13.5万,11514.7万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
超级继承人,三七 著,连载中,103.8万,822.4万,3.5万,822.4万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
海洋猎人,不吃西瓜的驴 著,连载中,41.6万,58.0万,1.1万,58.0万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
我的世界之开局继承地狱堡垒,追梦的扑街 著,连载中,11.7万,34.2万,1.2万,34.2万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
离婚后，我成了亿万富翁,猫咪少女 著,连载中,16.2万,36.8万,4381,36.8万,https://media6.tadu.com/web_dubbo_static//assets/images/v300/coverBg.jpg
