房源信息,房间图片,参考价,类型,结构,小区名称,所在区域,房间大小
"
                        金沟河5号院 正规南北通透两居室 不临街
                                                                                                ",https://s1.ljcdn.com/pegasus/redskull/images/common/blank.gif?_v=202008251423151,480,2室1厅,底层/共5层,金沟河5号院,海淀,59.6平米
房源信息,房间图片,参考价,类型,结构,小区名称,所在区域,房间大小
"
                        金沟河2号院  双南两居室   一层带小院 户型方正
                                                                                                ",https://s1.ljcdn.com/pegasus/redskull/images/common/blank.gif?_v=202008251423151,415,2室1厅,底层/共5层,金沟河2号院,海淀,47.3平米
房源信息,房间图片,参考价,类型,结构,小区名称,所在区域,房间大小
"
                        铭科苑南北两居 中间楼层 看房方便
                                                                                                ",https://s1.ljcdn.com/pegasus/redskull/images/common/blank.gif?_v=202008251423151,425,2室1厅,中楼层/共6层,铭科苑,海淀,66.3平米
房源信息,房间图片,参考价,类型,结构,小区名称,所在区域,房间大小
"
                        南北通透挂东窗 阳光充足视野好 不临街 楼龄新 密度低
                                                                                                ",https://s1.ljcdn.com/pegasus/redskull/images/common/blank.gif?_v=202008251423151,460,2室1厅,顶层/共6层,北蜂窝66号院,海淀,62.34平米
房源信息,房间图片,参考价,类型,结构,小区名称,所在区域,房间大小
"
                        曙光花园望山园高层精装南北通透三居室
                                                                                                ",https://s1.ljcdn.com/pegasus/redskull/images/common/blank.gif?_v=202008251423151,1080,3室1厅,顶层/共17层,曙光花园,海淀,129.29平米
房源信息,房间图片,参考价,类型,结构,小区名称,所在区域,房间大小
"
                        经典2居户型 满五唯一 南北通透 采光好 商品自住
                                                                                                ",https://s1.ljcdn.com/pegasus/redskull/images/common/blank.gif?_v=202008251423151,660,2室1厅,低楼层/共10层,博雅德园,海淀,94.48平米
房源信息,房间图片,参考价,类型,结构,小区名称,所在区域,房间大小
"
                        清河，清缘东里，正规两居室，满五年，诚售！
                                                                                                ",https://s1.ljcdn.com/pegasus/redskull/images/common/blank.gif?_v=202008251423151,555,2室1厅,低楼层/共19层,清缘东里,海淀,85.75平米
房源信息,房间图片,参考价,类型,结构,小区名称,所在区域,房间大小
"
                        百万庄 增光路  甘家口 五矿集团家属楼 封闭管理
                                                                                                ",https://s1.ljcdn.com/pegasus/redskull/images/common/blank.gif?_v=202008251423151,1045,3室2厅,低楼层/共11层,甘家口小区,海淀,97.34平米
房源信息,房间图片,参考价,类型,结构,小区名称,所在区域,房间大小
"
                        富丽小区 满五年唯一 高层采光好 精装修
                                                                                                ",https://s1.ljcdn.com/pegasus/redskull/images/common/blank.gif?_v=202008251423151,970,2室2厅,高楼层/共18层,富丽小区,海淀,92.45平米
房源信息,房间图片,参考价,类型,结构,小区名称,所在区域,房间大小
"
                        中关村骚子营南北通透三居 看房随时 随时签约
                                                                                                ",https://s1.ljcdn.com/pegasus/redskull/images/common/blank.gif?_v=202008251423151,525,3室1厅,顶层/共6层,骚子营,海淀,75平米
房源信息,房间图片,参考价,类型,结构,小区名称,所在区域,房间大小
"
                        精装修，中间层，全明格局，层高2.9米，装有新风系统
                                                                                                ",https://s1.ljcdn.com/pegasus/redskull/images/common/blank.gif?_v=202008251423151,915,3室1厅,中楼层/共6层,西三环北路23号院,海淀,87.27平米
房源信息,房间图片,参考价,类型,结构,小区名称,所在区域,房间大小
"
                        定慧寺八宝庄两居室，看房方便，价格可谈
                                                                                                ",https://s1.ljcdn.com/pegasus/redskull/images/common/blank.gif?_v=202008251423151,410,2室1厅,底层/共6层,八宝庄,海淀,51.4平米
房源信息,房间图片,参考价,类型,结构,小区名称,所在区域,房间大小
"
                        位置安静 满五唯一 全明格局 南北通透 三居两卫
                                                                                                ",https://s1.ljcdn.com/pegasus/redskull/images/common/blank.gif?_v=202008251423151,1250,3室2厅,低楼层/共7层,博雅西园,海淀,150.81平米
房源信息,房间图片,参考价,类型,结构,小区名称,所在区域,房间大小
"
                        优质三居，位置好不临街，视野可观山，看房方便。
                                                                                                ",https://s1.ljcdn.com/pegasus/redskull/images/common/blank.gif?_v=202008251423151,1056,3室2厅,高楼层/共9层,中海枫涟山庄,海淀,121.78平米
房源信息,房间图片,参考价,类型,结构,小区名称,所在区域,房间大小
"
                        南向中间层一居室  满五年唯一
                                                                                                ",https://s1.ljcdn.com/pegasus/redskull/images/common/blank.gif?_v=202008251423151,350,1室1厅,中楼层/共6层,动物园宿舍,海淀,40.5平米
房源信息,房间图片,参考价,类型,结构,小区名称,所在区域,房间大小
"
                        新上精装两居，满五年唯一，中国银行管理好南北通透
                                                                                                ",https://s1.ljcdn.com/pegasus/redskull/images/common/blank.gif?_v=202008251423151,558,2室1厅,中楼层/共9层,七贤村,海淀,57平米
房源信息,房间图片,参考价,类型,结构,小区名称,所在区域,房间大小
"
                        慈寿寺地铁八里庄小两居 精装修
                                                                                                ",https://s1.ljcdn.com/pegasus/redskull/images/common/blank.gif?_v=202008251423151,486,2室1厅,高楼层/共6层,八里庄北里,海淀,54平米
房源信息,房间图片,参考价,类型,结构,小区名称,所在区域,房间大小
"
                        经典两居室 满两年 户型方正 无遮挡
                                                                                                ",https://s1.ljcdn.com/pegasus/redskull/images/common/blank.gif?_v=202008251423151,730,2室1厅,中楼层/共17层,金夕园,海淀,85.76平米
房源信息,房间图片,参考价,类型,结构,小区名称,所在区域,房间大小
"
                        此房满五唯一，朝南向，阳光充足，有电梯
                                                                                                ",https://s1.ljcdn.com/pegasus/redskull/images/common/blank.gif?_v=202008251423151,430,1室1厅,中楼层/共12层,紫竹院南路14号院,海淀,46.2平米
房源信息,房间图片,参考价,类型,结构,小区名称,所在区域,房间大小
"
                        南北通透两居室 双轨交汇之地 配套完善 诚心出售
                                                                                                ",https://s1.ljcdn.com/pegasus/redskull/images/common/blank.gif?_v=202008251423151,338,2室1厅,顶层/共6层,轮胎厂宿舍,海淀,58.2平米
房源信息,房间图片,参考价,类型,结构,小区名称,所在区域,房间大小
"
                        海淀宝盛里小区，南北通透，中间层，满五年唯一两居室
                                                                                                ",https://s1.ljcdn.com/pegasus/redskull/images/common/blank.gif?_v=202008251423151,480,2室1厅,低楼层/共6层,宝盛里,海淀,73.9平米
房源信息,房间图片,参考价,类型,结构,小区名称,所在区域,房间大小
"
                        西直门精装一居 地暖小区 满五唯一商品房业主诚售
                                                                                                ",https://s1.ljcdn.com/pegasus/redskull/images/common/blank.gif?_v=202008251423151,338,1室0厅,底层/共13层,文慧园一号公寓,海淀,38.39平米
房源信息,房间图片,参考价,类型,结构,小区名称,所在区域,房间大小
"
                        满五年家庭唯一住房 中间层 采光好 无遮挡
                                                                                                ",https://s1.ljcdn.com/pegasus/redskull/images/common/blank.gif?_v=202008251423151,330,1室1厅,中楼层/共6层,定慧西里,海淀,39.3平米
房源信息,房间图片,参考价,类型,结构,小区名称,所在区域,房间大小
"
                        南北通透四居 眼镜户型一层带院 加电梯后加了面积
                                                                                                ",https://s1.ljcdn.com/pegasus/redskull/images/common/blank.gif?_v=202008251423151,1350,4室2厅,底层/共6层,大有北里小区,海淀,125.1平米
房源信息,房间图片,参考价,类型,结构,小区名称,所在区域,房间大小
